Fuld adresse,Materieltype,Antal,Tømningsdato
Steen Billes Gade 22, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Sjællandsgade 94 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Otte Ruds Gade 1, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Tordenskjoldsgade 7, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Tordenskjoldsgade 7, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Ny Kastetvej 33, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Ny Kastetvej 19, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Ny Kastetvej 1, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Sverigesgade 16 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Sjællandsgade 86 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Norgesgade 7 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Møensgade 1 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Falstersgade 42 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Turøgade 1 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Lollandsgade 13 A, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Ærøgade 7 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Vendsysselgade 2 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Vendsysselgade 20 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Stigsborg Bakke 4, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Stigsborg Bakke 4, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Stigsborg Bakke 3, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 (Restaffald),1.0,2/26/2024
Stigsborg Bakke 3, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 (Restaffald),1.0,2/26/2024
Vendsysselgade 25 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Parkvænget 4, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 (Restaffald),1.0,2/26/2024
Parkvænget 4, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 (Restaffald),1.0,2/26/2024
Vendsysselgade 9 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Lollandsgade 14 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Stigsborg Brygge 141, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Stigsborg Brygge 141, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Sjællandsgade 54, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Færøgade 60, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Prinsessegade 9, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Prinsessegade 19 B, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Samsøgade 7 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Fyensgade 39 H, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Fyensgade 24, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Sankt Peders Gade 8, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Fyensgade 42, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Nygade 3 B, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Fyensgade 50 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Himmerlandsgade 1, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Himmerlandsgade 29 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Julius Posselts Vej 3 A, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 (Restaffald),1.0,2/26/2024
Julius Posselts Vej 3 A, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 (Restaffald),1.0,2/26/2024
Julius Posselts Vej 3 A, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 (Restaffald),1.0,2/26/2024
Julius Posselts Vej 3 A, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 (Restaffald),1.0,2/26/2024
Julius Posselts Vej 3 A, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 (Restaffald),1.0,2/26/2024
Læsøgade 26 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Læsøgade 7 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Sjællandsgade 74 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Nygade 15 B, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Islandsgade 16, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Islandsgade 16, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Nygade 8 C, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Teglværks Alle 15, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Vesterbrogade 4 H, 9400 Nørresundby,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Teglværks Alle 4, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Tornstedsgade 3 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Brettevillesgade 6, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Brettevillesgade 6, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Carit Etlars Gade 4 B, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
Langesgade 4, 9000 Aalborg,Fuldt-nedgravet 5,0 m3 - offentlig (Restaffald),1.0,2/26/2024
